image_url,title,description,alt_text,link,board,board_section,priority,aspect_ratio
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/d2de3c00-581a-4bc3-a47c-2816e66a98e3.jpg,"Pinky Signet Ring in Solid Gold, Minimal Oval Face for Initials","A quiet oval signet made for the little finger, cast in solid 10K, 14K or 18K gold with a smooth face left blank for your initials. Minimal, heirloom and made to order. Tap to see sizes and colours on Etsy.",Minimal solid yellow gold oval pinky signet ring standing on a dark granite plinth,https://www.etsy.com/listing/4582948003,Rings,,high,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/9ab827d7-5f63-4271-a578-36d5103f795a.jpg,The Story of the Pinky Signet Ring: a Signature You Wear,"Signet rings were once worn as a personal seal. Our minimal pinky signet keeps the oval face smooth so you decide what it says: initials, a monogram or nothing at all. Solid gold, made to order. Read more and shop on Etsy.",Man's hand resting on dark wool wearing a gold oval signet ring on the little finger,https://www.etsy.com/listing/4582948003,Rings,,high,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/1292a66e-ca25-48f0-b0e9-fe8f33b80128.jpg,"Engravable Gold Signet Ring, Blank Oval Face for Your Monogram","Macro of a polished solid gold signet face, smooth and ready for engraving. Add initials or a monogram up to 4 characters, or keep it blank. A minimalist heirloom ring for everyday wear.",Close-up of the smooth polished face of a yellow gold oval signet ring,https://www.etsy.com/listing/4582948003,Rings,,low,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/b0468913-0132-49db-a2b4-6fbe66037155.jpg,What to Engrave on a Signet Ring: 3 Classic Monogram Ideas,"Not sure what to put on a signet ring? Start with your initials, a partner's initials or a year that matters. Our oval pinky signet takes up to 4 characters on a smooth solid gold face. Save for later and shop on Etsy.",Gold oval signet ring engraved with the initials A R in serif capitals on dark stone,https://www.etsy.com/listing/4582948003,Rings,,high,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/cf404524-02e8-4828-9599-40d0813e90e5.jpg,"Gold Signet Ring in Yellow, White and Rose Gold, Minimalist Pinky Ring","The same minimal oval pinky signet in yellow, white and rose gold. Solid gold, made to order, with a smooth face for optional engraving. Which one is yours? Tap to choose on Etsy.","Three oval signet rings in yellow, white and rose gold standing on dark granite",https://www.etsy.com/listing/4582948003,Rings,,low,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/6d075524-fb87-407e-9e2b-d47b889ddaf3.jpg,How to Find Your Pinky Ring Size: 3 Tips Before You Order a Signet,"Pinky ring sizing is different from your ring finger. Measure the little finger itself, choose the larger size if you fall between two, and make sure the ring slides over the knuckle. Save this guide for your next signet ring.","A man's and a woman's hands resting together, each wearing a gold signet ring on the little finger",https://www.etsy.com/listing/4582948003,Rings,,high,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/b4ca77a7-128a-4e7c-9526-27847491ef98.jpg,"Minimalist Pinky Signet Ring for Men and Women, Solid Gold","A minimal oval signet made for the pinky, shown on stone and on the hand. Solid gold in 10K, 14K or 18K with optional initials on the face. A modern heirloom gift for him or her.",Gold signet ring on granite above a man's hand wearing it on the little finger beside a leather notebook,https://www.etsy.com/listing/4582948003,Rings,,low,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/4b100ec2-c322-44df-8ace-0d6f8b72b10e.jpg,"Heirloom Gold Signet Ring Gift, Engravable Pinky Ring for Christmas","A solid gold pinky signet on deep green velvet, a gift meant to be engraved once and handed down. Add initials on the oval face for Christmas, an anniversary or a graduation. Shop on Etsy.",Gold oval signet ring on green velvet with warm candlelight behind,https://www.etsy.com/listing/4582948003,Rings,,low,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/bc685de0-2ce1-4a2a-bc87-7affe3105dd0.jpg,"Initial Signet Ring in 14k Solid Gold, Personalized Letter Ring","A softly squared 14k yellow gold signet with one recessed uppercase letter of your choice. Minimal, personal and made to order. A thoughtful personalized gift. Tap to choose your letter on Etsy.",14k yellow gold signet ring with a recessed capital letter E on travertine,https://www.etsy.com/listing/4578893291,Rings,,low,2:3
https://d2ol7oe51mr4n9.cloudfront.net/user_2y2d8GaiZx1n1TAQvt4Zj3UOc3e/b9cec20c-da20-48b6-96a7-8e8e905812ad.jpg,"The Story Behind Our Initial Signet Ring, One Letter in Gold","One recessed letter on a softly squared 14k gold face: personal up close, sculptural from a distance. See how our initial signet ring is designed and choose your letter on Etsy.",Hand wearing a gold initial signet ring with the letter E,https://www.etsy.com/listing/4578893291,Rings,,high,2:3
