order,filename,alt_text
01,10k-yellow-01-water-plinth-hero.jpg,"10K Yellow Gold Lintel wedding band standing upright as the main product view, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
02,10k-yellow-02-slate-water.jpg,"10K Yellow Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
03,10k-yellow-03-close-product.jpg,"10K Yellow Gold Lintel wedding band shown at an alternate angle to reveal its wide architectural profile, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
04,10k-yellow-04-finish-macro-a.jpg,"10K Yellow Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
05,10k-yellow-05-on-hand.jpg,"10K Yellow Gold Lintel wedding band shown on a natural hand for scale, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
06,10k-yellow-06-workshop.jpg,"10K Yellow Gold Lintel wedding band shown in a natural jewelry workshop setting, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
07,10k-yellow-07-horizontal-profile.jpg,"10K Yellow Gold Lintel wedding band resting horizontally to show the full profile, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
08,10k-yellow-08-packaging-concept.jpg,"10K Yellow Gold Lintel wedding band presented in an EON packaging concept, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
09,10k-yellow-09-water-closing.jpg,"10K Yellow Gold Lintel wedding band in a final atmospheric product view, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
10,10k-yellow-10-finish-macro-b.jpg,"10K Yellow Gold Lintel wedding band in a close view of the satin and polished finishes, with a wide satin center and polished rounded edge rails in a cool water, wet stone and gray metal setting."
